time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;95700.369;13.504;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;92682.811;12.545;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;90636.957;12.066;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;88279.962;11.606;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;83436.989;10.877;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;79334.936;10.390;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;73408.912;9.800;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;66351.404;9.203;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;55589.565;8.400;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;61588.465;8.840;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;66477.724;9.213;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;63728.004;8.993;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;55161.692;8.380;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;46279.157;7.762;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;36967.300;7.118;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;23402.890;6.075;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;7844.414;4.322;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;2482.028;3.178;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;1056.905;2.613;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;1308.561;2.730;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;1183.279;2.678;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;705.117;2.398;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;107.131;1.667;;;;;;;;;;;
2019-01-01 23:00;2019-01-01 17:00;2.345;845;;;;;;;;;;;
2019-01-02 00:00;2019-01-01 18:00;39.497;1.389;;;;;;;;;;;
2019-01-02 01:00;2019-01-01 19:00;1187.522;2.680;;;;;;;;;;;
2019-01-02 02:00;2019-01-01 20:00;4874.464;3.780;;;;;;;;;;;
2019-01-02 03:00;2019-01-01 21:00;9370.815;4.554;;;;;;;;;;;
2019-01-02 04:00;2019-01-01 22:00;13677.416;5.112;;;;;;;;;;;
2019-01-02 05:00;2019-01-01 23:00;18507.251;5.629;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 00:00;24821.307;6.199;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 01:00;32102.337;6.773;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 02:00;40590.370;7.375;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 03:00;44688.985;7.652;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 04:00;48334.193;7.901;;;;;;;;;;;
