time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;96650.116;13.921;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;94467.808;13.063;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;91657.182;12.293;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;89488.256;11.834;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;87406.009;11.462;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;80955.144;10.572;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;71200.625;9.604;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;75371.229;9.984;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;81093.965;10.590;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;79882.153;10.441;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;72577.160;9.725;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;55124.519;8.377;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;39779.730;7.322;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;31122.006;6.694;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;20762.616;5.843;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;9064.299;4.509;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;4745.508;3.753;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;3650.592;3.493;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;1092.637;2.632;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;698.511;2.393;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;1764.033;2.931;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;2387.652;3.149;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;1978.188;3.010;;;;;;;;;;;
2019-01-01 23:00;2019-01-01 17:00;472.054;2.202;;;;;;;;;;;
2019-01-02 00:00;2019-01-01 18:00;292.847;2.013;;;;;;;;;;;
2019-01-02 01:00;2019-01-01 19:00;2717.760;3.249;;;;;;;;;;;
2019-01-02 02:00;2019-01-01 20:00;9993.640;4.634;;;;;;;;;;;
2019-01-02 03:00;2019-01-01 21:00;29820.412;6.595;;;;;;;;;;;
2019-01-02 04:00;2019-01-01 22:00;56402.173;8.467;;;;;;;;;;;
2019-01-02 05:00;2019-01-01 23:00;73356.299;9.795;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 00:00;80750.419;10.550;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 01:00;84812.957;11.067;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 02:00;88165.789;11.580;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 03:00;87521.519;11.480;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 04:00;83669.900;10.903;;;;;;;;;;;
