time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;87763.819;11.511;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;92936.959;12.601;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;95630.220;13.480;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;92537.186;12.503;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;86656.388;11.335;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;83192.265;10.844;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;80460.108;10.516;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;79248.948;10.381;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;75423.616;9.989;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;67594.451;9.302;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;64770.641;9.080;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;65183.457;9.112;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;60099.188;8.730;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;50546.471;8.061;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;38229.869;7.215;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;26762.230;6.356;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;18075.013;5.576;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;13508.871;5.093;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;12332.464;4.951;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;11075.612;4.781;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;7882.765;4.328;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;4661.937;3.735;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;3258.323;3.401;;;;;;;;;;;
2019-01-01 23:00;2019-01-01 17:00;2527.622;3.191;;;;;;;;;;;
2019-01-02 00:00;2019-01-01 18:00;1792.597;2.941;;;;;;;;;;;
2019-01-02 01:00;2019-01-01 19:00;1175.116;2.674;;;;;;;;;;;
2019-01-02 02:00;2019-01-01 20:00;681.813;2.381;;;;;;;;;;;
2019-01-02 03:00;2019-01-01 21:00;617.502;2.325;;;;;;;;;;;
2019-01-02 04:00;2019-01-01 22:00;702.236;2.396;;;;;;;;;;;
2019-01-02 05:00;2019-01-01 23:00;829.674;2.473;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 00:00;2470.026;3.175;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 01:00;8631.189;4.444;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 02:00;17104.433;5.488;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 03:00;21794.749;5.937;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 04:00;26096.682;6.306;;;;;;;;;;;
2019-01-02 11:00;2019-01-02 05:00;35195.935;6.992;;;;;;;;;;;
2019-01-02 12:00;2019-01-02 06:00;46550.087;7.779;;;;;;;;;;;
2019-01-02 13:00;2019-01-02 07:00;54162.604;8.305;;;;;;;;;;;
2019-01-02 14:00;2019-01-02 08:00;55697.481;8.414;;;;;;;;;;;
2019-01-02 15:00;2019-01-02 09:00;65065.565;9.103;;;;;;;;;;;
2019-01-02 16:00;2019-01-02 10:00;73544.006;9.812;;;;;;;;;;;
2019-01-02 17:00;2019-01-02 11:00;76375.585;10.076;;;;;;;;;;;
2019-01-02 18:00;2019-01-02 12:00;78008.326;10.248;;;;;;;;;;;
