time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;83726.843;10.919;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;91197.268;12.184;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;89048.678;11.750;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;87089.031;11.399;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;81265.386;10.608;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;76826.950;10.127;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;72958.828;9.759;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;70380.450;9.533;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;67194.581;9.263;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;69137.917;9.419;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;74122.363;9.866;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;73256.675;9.786;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;65603.307;9.142;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;51157.229;8.096;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;37432.846;7.150;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;25337.951;6.234;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;17240.104;5.501;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;13383.220;5.069;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;12033.609;4.913;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;11876.493;4.893;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;12364.188;4.954;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;13253.065;5.053;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;14155.221;5.168;;;;;;;;;;;
