time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;98535.330;15.235;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;98385.950;15.089;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;97194.607;14.222;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;92735.111;12.558;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;89446.358;11.825;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;89283.458;11.794;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;89272.768;11.792;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;87356.357;11.453;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;82584.862;10.761;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;78029.140;10.250;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;75889.387;10.034;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;74252.944;9.878;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;70640.821;9.555;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;62531.039;8.908;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;48628.917;7.926;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;34779.454;6.961;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;24645.501;6.183;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;20207.995;5.782;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;20203.158;5.782;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;16656.502;5.441;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;10052.277;4.642;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;5369.658;3.873;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;2699.057;3.236;;;;;;;;;;;
2019-01-01 23:00;2019-01-01 17:00;1755.359;2.927;;;;;;;;;;;
2019-01-02 00:00;2019-01-01 18:00;1077.578;2.624;;;;;;;;;;;
2019-01-02 01:00;2019-01-01 19:00;306.302;2.026;;;;;;;;;;;
2019-01-02 02:00;2019-01-01 20:00;1.483;778;;;;;;;;;;;
2019-01-02 03:00;2019-01-01 21:00;2.018;822;;;;;;;;;;;
2019-01-02 04:00;2019-01-01 22:00;176.080;1.824;;;;;;;;;;;
2019-01-02 05:00;2019-01-01 23:00;1755.756;2.927;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 00:00;7335.932;4.238;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 01:00;15154.374;5.275;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 02:00;21139.005;5.878;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 03:00;29721.433;6.592;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 04:00;41910.566;7.471;;;;;;;;;;;
2019-01-02 11:00;2019-01-02 05:00;54594.255;8.336;;;;;;;;;;;
2019-01-02 12:00;2019-01-02 06:00;66059.135;9.174;;;;;;;;;;;
