time;local_time;electricity;wind_speed;;;;;;;;;;;
2019-01-01 00:00;2018-12-31 18:00;92593.606;12.511;;;;;;;;;;;
2019-01-01 01:00;2018-12-31 19:00;94277.829;13.001;;;;;;;;;;;
2019-01-01 02:00;2018-12-31 20:00;93493.668;12.757;;;;;;;;;;;
2019-01-01 03:00;2018-12-31 21:00;91346.468;12.214;;;;;;;;;;;
2019-01-01 04:00;2018-12-31 22:00;90516.392;12.038;;;;;;;;;;;
2019-01-01 05:00;2018-12-31 23:00;90599.684;12.058;;;;;;;;;;;
2019-01-01 06:00;2019-01-01 00:00;88871.288;11.717;;;;;;;;;;;
2019-01-01 07:00;2019-01-01 01:00;86399.098;11.301;;;;;;;;;;;
2019-01-01 08:00;2019-01-01 02:00;83564.881;10.888;;;;;;;;;;;
2019-01-01 09:00;2019-01-01 03:00;80314.993;10.489;;;;;;;;;;;
2019-01-01 10:00;2019-01-01 04:00;77547.435;10.195;;;;;;;;;;;
2019-01-01 11:00;2019-01-01 05:00;73620.896;9.819;;;;;;;;;;;
2019-01-01 12:00;2019-01-01 06:00;70798.775;9.569;;;;;;;;;;;
2019-01-01 13:00;2019-01-01 07:00;67193.389;9.266;;;;;;;;;;;
2019-01-01 14:00;2019-01-01 08:00;58331.469;8.603;;;;;;;;;;;
2019-01-01 15:00;2019-01-01 09:00;42696.434;7.523;;;;;;;;;;;
2019-01-01 16:00;2019-01-01 10:00;27885.906;6.444;;;;;;;;;;;
2019-01-01 17:00;2019-01-01 11:00;18869.862;5.664;;;;;;;;;;;
2019-01-01 18:00;2019-01-01 12:00;11845.596;4.883;;;;;;;;;;;
2019-01-01 19:00;2019-01-01 13:00;8913.820;4.487;;;;;;;;;;;
2019-01-01 20:00;2019-01-01 14:00;9341.112;4.549;;;;;;;;;;;
2019-01-01 21:00;2019-01-01 15:00;10377.703;4.696;;;;;;;;;;;
2019-01-01 22:00;2019-01-01 16:00;9396.806;4.558;;;;;;;;;;;
2019-01-01 23:00;2019-01-01 17:00;8467.494;4.413;;;;;;;;;;;
2019-01-02 00:00;2019-01-01 18:00;7186.158;4.213;;;;;;;;;;;
2019-01-02 01:00;2019-01-01 19:00;5996.644;4.002;;;;;;;;;;;
2019-01-02 02:00;2019-01-01 20:00;4563.469;3.705;;;;;;;;;;;
2019-01-02 03:00;2019-01-01 21:00;1922.206;2.989;;;;;;;;;;;
2019-01-02 04:00;2019-01-01 22:00;177.101;1.831;;;;;;;;;;;
2019-01-02 05:00;2019-01-01 23:00;79.431;1.581;;;;;;;;;;;
2019-01-02 06:00;2019-01-02 00:00;390.040;2.128;;;;;;;;;;;
2019-01-02 07:00;2019-01-02 01:00;1310.797;2.736;;;;;;;;;;;
2019-01-02 08:00;2019-01-02 02:00;2933.260;3.312;;;;;;;;;;;
2019-01-02 09:00;2019-01-02 03:00;5608.263;3.929;;;;;;;;;;;
2019-01-02 10:00;2019-01-02 04:00;9407.769;4.560;;;;;;;;;;;
2019-01-02 11:00;2019-01-02 05:00;12375.257;4.956;;;;;;;;;;;
2019-01-02 12:00;2019-01-02 06:00;15832.809;5.354;;;;;;;;;;;
2019-01-02 13:00;2019-01-02 07:00;22331.754;5.976;;;;;;;;;;;
2019-01-02 14:00;2019-01-02 08:00;21899.392;5.943;;;;;;;;;;;
2019-01-02 15:00;2019-01-02 09:00;20826.290;5.849;;;;;;;;;;;
2019-01-02 16:00;2019-01-02 10:00;16376.928;5.412;;;;;;;;;;;
2019-01-02 17:00;2019-01-02 11:00;8675.050;4.451;;;;;;;;;;;
2019-01-02 18:00;2019-01-02 12:00;6276.377;4.054;;;;;;;;;;;
2019-01-02 19:00;2019-01-02 13:00;8056.652;4.355;;;;;;;;;;;
2019-01-02 20:00;2019-01-02 14:00;8424.819;4.404;;;;;;;;;;;
2019-01-02 21:00;2019-01-02 15:00;9336.248;4.540;;;;;;;;;;;
2019-01-02 22:00;2019-01-02 16:00;11271.488;4.806;;;;;;;;;;;
2019-01-02 23:00;2019-01-02 17:00;17816.732;5.551;;;;;;;;;;;
2019-01-03 00:00;2019-01-02 18:00;18562.745;5.634;;;;;;;;;;;
2019-01-03 01:00;2019-01-02 19:00;16433.516;5.418;;;;;;;;;;;
2019-01-03 02:00;2019-01-02 20:00;15857.532;5.356;;;;;;;;;;;
2019-01-03 03:00;2019-01-02 21:00;18884.465;5.665;;;;;;;;;;;
2019-01-03 04:00;2019-01-02 22:00;22818.251;6.024;;;;;;;;;;;
2019-01-03 05:00;2019-01-02 23:00;21115.337;5.876;;;;;;;;;;;
2019-01-03 06:00;2019-01-03 00:00;15924.121;5.364;;;;;;;;;;;
2019-01-03 07:00;2019-01-03 01:00;13446.839;5.085;;;;;;;;;;;
2019-01-03 08:00;2019-01-03 02:00;12104.800;4.922;;;;;;;;;;;
2019-01-03 09:00;2019-01-03 03:00;11928.404;4.900;;;;;;;;;;;
2019-01-03 10:00;2019-01-03 04:00;10141.637;4.654;;;;;;;;;;;
2019-01-03 11:00;2019-01-03 05:00;7675.838;4.285;;;;;;;;;;;
2019-01-03 12:00;2019-01-03 06:00;7252.056;4.224;;;;;;;;;;;
2019-01-03 13:00;2019-01-03 07:00;14056.125;5.156;;;;;;;;;;;
2019-01-03 14:00;2019-01-03 08:00;24820.533;6.198;;;;;;;;;;;
2019-01-03 15:00;2019-01-03 09:00;7486.242;4.263;;;;;;;;;;;
2019-01-03 16:00;2019-01-03 10:00;1.823;802;;;;;;;;;;;
2019-01-03 17:00;2019-01-03 11:00;850;695;;;;;;;;;;;
2019-01-03 18:00;2019-01-03 12:00;3.363;903;;;;;;;;;;;
2019-01-03 19:00;2019-01-03 13:00;695.857;2.392;;;;;;;;;;;
2019-01-03 20:00;2019-01-03 14:00;1459.535;2.798;;;;;;;;;;;
2019-01-03 21:00;2019-01-03 15:00;63.890;1.521;;;;;;;;;;;
2019-01-03 22:00;2019-01-03 16:00;0;372;;;;;;;;;;;
2019-01-03 23:00;2019-01-03 17:00;204.296;1.872;;;;;;;;;;;
2019-01-04 00:00;2019-01-03 18:00;362.542;2.091;;;;;;;;;;;
2019-01-04 01:00;2019-01-03 19:00;2059.541;3.039;;;;;;;;;;;
2019-01-04 02:00;2019-01-03 20:00;3705.954;3.515;;;;;;;;;;;
2019-01-04 03:00;2019-01-03 21:00;4307.314;3.657;;;;;;;;;;;
2019-01-04 04:00;2019-01-03 22:00;4701.001;3.744;;;;;;;;;;;
2019-01-04 05:00;2019-01-03 23:00;5164.113;3.840;;;;;;;;;;;
2019-01-04 06:00;2019-01-04 00:00;5847.984;3.965;;;;;;;;;;;
2019-01-04 07:00;2019-01-04 01:00;8465.915;4.410;;;;;;;;;;;
2019-01-04 08:00;2019-01-04 02:00;13213.539;5.048;;;;;;;;;;;
2019-01-04 09:00;2019-01-04 03:00;20859.097;5.852;;;;;;;;;;;
2019-01-04 10:00;2019-01-04 04:00;30026.496;6.613;;;;;;;;;;;
2019-01-04 11:00;2019-01-04 05:00;37437.958;7.150;;;;;;;;;;;
2019-01-04 12:00;2019-01-04 06:00;39006.524;7.261;;;;;;;;;;;
2019-01-04 13:00;2019-01-04 07:00;35478.827;7.019;;;;;;;;;;;
2019-01-04 14:00;2019-01-04 08:00;30199.940;6.624;;;;;;;;;;;
2019-01-04 15:00;2019-01-04 09:00;12785.185;5.006;;;;;;;;;;;
2019-01-04 16:00;2019-01-04 10:00;3676.346;3.499;;;;;;;;;;;
2019-01-04 17:00;2019-01-04 11:00;2953.327;3.318;;;;;;;;;;;
2019-01-04 18:00;2019-01-04 12:00;9041.533;4.506;;;;;;;;;;;
2019-01-04 19:00;2019-01-04 13:00;10226.207;4.675;;;;;;;;;;;
2019-01-04 20:00;2019-01-04 14:00;10187.732;4.669;;;;;;;;;;;
2019-01-04 21:00;2019-01-04 15:00;12163.876;4.930;;;;;;;;;;;
2019-01-04 22:00;2019-01-04 16:00;17177.000;5.495;;;;;;;;;;;
2019-01-04 23:00;2019-01-04 17:00;20457.379;5.815;;;;;;;;;;;
2019-01-05 00:00;2019-01-04 18:00;25683.162;6.272;;;;;;;;;;;
2019-01-05 01:00;2019-01-04 19:00;36212.671;7.071;;;;;;;;;;;
2019-01-05 02:00;2019-01-04 20:00;47895.983;7.879;;;;;;;;;;;
2019-01-05 03:00;2019-01-04 21:00;54566.497;8.328;;;;;;;;;;;
2019-01-05 04:00;2019-01-04 22:00;55440.211;8.395;;;;;;;;;;;
2019-01-05 05:00;2019-01-04 23:00;52737.548;8.211;;;;;;;;;;;
2019-01-05 06:00;2019-01-05 00:00;48334.511;7.903;;;;;;;;;;;
2019-01-05 07:00;2019-01-05 01:00;42328.224;7.490;;;;;;;;;;;
2019-01-05 08:00;2019-01-05 02:00;36595.275;7.095;;;;;;;;;;;
2019-01-05 09:00;2019-01-05 03:00;34945.378;6.981;;;;;;;;;;;
2019-01-05 10:00;2019-01-05 04:00;35197.724;6.995;;;;;;;;;;;
2019-01-05 11:00;2019-01-05 05:00;33863.231;6.903;;;;;;;;;;;
2019-01-05 12:00;2019-01-05 06:00;31769.325;6.739;;;;;;;;;;;
2019-01-05 13:00;2019-01-05 07:00;26370.042;6.324;;;;;;;;;;;
2019-01-05 14:00;2019-01-05 08:00;15699.775;5.339;;;;;;;;;;;
2019-01-05 15:00;2019-01-05 09:00;2893.910;3.301;;;;;;;;;;;
2019-01-05 16:00;2019-01-05 10:00;38.082;1.379;;;;;;;;;;;
2019-01-05 17:00;2019-01-05 11:00;25.627;1.288;;;;;;;;;;;
2019-01-05 18:00;2019-01-05 12:00;696.403;2.392;;;;;;;;;;;
2019-01-05 19:00;2019-01-05 13:00;3398.374;3.438;;;;;;;;;;;
2019-01-05 20:00;2019-01-05 14:00;5598.989;3.927;;;;;;;;;;;
2019-01-05 21:00;2019-01-05 15:00;9807.934;4.614;;;;;;;;;;;
2019-01-05 22:00;2019-01-05 16:00;17493.897;5.524;;;;;;;;;;;
2019-01-05 23:00;2019-01-05 17:00;29940.652;6.607;;;;;;;;;;;
2019-01-06 00:00;2019-01-05 18:00;50532.739;8.058;;;;;;;;;;;
2019-01-06 01:00;2019-01-05 19:00;65659.564;9.144;;;;;;;;;;;
2019-01-06 02:00;2019-01-05 20:00;71223.054;9.605;;;;;;;;;;;
2019-01-06 03:00;2019-01-05 21:00;75502.314;9.996;;;;;;;;;;;
2019-01-06 04:00;2019-01-05 22:00;73736.294;9.825;;;;;;;;;;;
2019-01-06 05:00;2019-01-05 23:00;67676.607;9.309;;;;;;;;;;;
2019-01-06 06:00;2019-01-06 00:00;60756.187;8.774;;;;;;;;;;;
2019-01-06 07:00;2019-01-06 01:00;55387.342;8.393;;;;;;;;;;;
2019-01-06 08:00;2019-01-06 02:00;53137.902;8.235;;;;;;;;;;;
2019-01-06 09:00;2019-01-06 03:00;52281.597;8.178;;;;;;;;;;;
2019-01-06 10:00;2019-01-06 04:00;56282.843;8.458;;;;;;;;;;;
2019-01-06 11:00;2019-01-06 05:00;65801.733;9.159;;;;;;;;;;;
2019-01-06 12:00;2019-01-06 06:00;74600.395;9.905;;;;;;;;;;;
2019-01-06 13:00;2019-01-06 07:00;78055.515;10.253;;;;;;;;;;;
2019-01-06 14:00;2019-01-06 08:00;80232.297;10.485;;;;;;;;;;;
2019-01-06 15:00;2019-01-06 09:00;86383.597;11.298;;;;;;;;;;;
2019-01-06 16:00;2019-01-06 10:00;70643.609;9.556;;;;;;;;;;;
2019-01-06 17:00;2019-01-06 11:00;87996.399;11.561;;;;;;;;;;;
2019-01-06 18:00;2019-01-06 12:00;92238.932;12.432;;;;;;;;;;;
2019-01-06 19:00;2019-01-06 13:00;92711.300;12.552;;;;;;;;;;;
2019-01-06 20:00;2019-01-06 14:00;90136.364;11.962;;;;;;;;;;;
2019-01-06 21:00;2019-01-06 15:00;91383.168;12.229;;;;;;;;;;;
2019-01-06 22:00;2019-01-06 16:00;94937.262;13.222;;;;;;;;;;;
2019-01-06 23:00;2019-01-06 17:00;96275.821;13.752;;;;;;;;;;;
2019-01-07 00:00;2019-01-06 18:00;96322.419;13.776;;;;;;;;;;;
2019-01-07 01:00;2019-01-06 19:00;95995.083;13.631;;;;;;;;;;;
2019-01-07 02:00;2019-01-06 20:00;95558.689;13.453;;;;;;;;;;;
2019-01-07 03:00;2019-01-06 21:00;95059.341;13.266;;;;;;;;;;;
2019-01-07 04:00;2019-01-06 22:00;96533.622;13.875;;;;;;;;;;;
2019-01-07 05:00;2019-01-06 23:00;97082.650;14.149;;;;;;;;;;;
2019-01-07 06:00;2019-01-07 00:00;98498.311;15.190;;;;;;;;;;;
2019-01-07 07:00;2019-01-07 01:00;98498.691;15.202;;;;;;;;;;;
2019-01-07 08:00;2019-01-07 02:00;97617.432;14.484;;;;;;;;;;;
2019-01-07 09:00;2019-01-07 03:00;95602.578;13.470;;;;;;;;;;;
2019-01-07 10:00;2019-01-07 04:00;91736.094;12.311;;;;;;;;;;;
2019-01-07 11:00;2019-01-07 05:00;89540.286;11.844;;;;;;;;;;;
2019-01-07 12:00;2019-01-07 06:00;83151.150;10.842;;;;;;;;;;;
